@RELATION wfshell

@ATTRIBUTE crashtime  DATE "yyyy-MM-dd HH:mm:ss"
@ATTRIBUTE crashcount   NUMERIC

@DATA
"2023-11-20 05:07:00","1"
"2023-11-20 06:07:00","1"
"2023-11-20 07:07:00","1"
"2023-11-20 08:07:00","1"
"2023-11-20 09:07:00","1"
"2023-11-20 10:07:00","1"
"2023-11-20 11:07:00","1"
"2023-11-20 12:07:00","1"
"2023-11-20 13:07:00","1"
"2023-11-20 14:07:00","1"
"2023-11-20 15:07:00","1"
"2023-11-20 16:07:00","1"
"2023-11-20 17:07:00","1"
"2023-11-20 18:07:00","1"
"2023-11-20 19:07:00","69"
"2023-11-20 20:07:00","1"
"2023-11-20 21:07:00","15"
"2023-11-20 22:07:00","1"
"2023-11-20 23:07:00","3"
"2023-11-21 00:07:00","1"
"2023-11-21 01:07:00","1"
"2023-11-21 02:07:00","1"
"2023-11-21 03:07:00","1"
"2023-11-21 04:07:00","1"
"2023-11-21 05:07:00","1"
"2023-11-21 06:07:00","1"
"2023-11-21 07:07:00","1"
"2023-11-21 08:07:00","1"
"2023-11-21 09:07:00","1"
"2023-11-21 10:07:00","1"
"2023-11-21 11:07:00","1"
"2023-11-21 12:07:00","1"
"2023-11-21 13:07:00","1"
"2023-11-21 14:07:00","1"
"2023-11-21 15:07:00","1"
"2023-11-21 16:07:00","1"
"2023-11-21 17:07:00","1"
"2023-11-21 18:07:00","1"
"2023-11-21 19:07:00","72"
"2023-11-21 20:07:00","4"
"2023-11-21 21:07:00","3"
"2023-11-21 22:07:00","1"
"2023-11-21 23:07:00","1"
"2023-11-22 00:07:00","1"
"2023-11-22 01:07:00","1"
"2023-11-22 02:07:00","1"
"2023-11-22 03:07:00","1"
"2023-11-22 04:07:00","1"
"2023-11-22 05:07:00","1"
"2023-11-22 06:07:00","1"
"2023-11-22 07:07:00","1"
"2023-11-22 08:07:00","1"
"2023-11-22 09:07:00","1"
"2023-11-22 10:07:00","1"
"2023-11-22 11:07:00","1"
"2023-11-22 12:07:00","1"
"2023-11-22 13:07:00","1"
"2023-11-22 14:07:00","1"
"2023-11-22 15:07:00","1"
"2023-11-22 16:07:00","1"
"2023-11-22 17:07:00","1"
"2023-11-22 18:07:00","1"
